Time,CpuUsedRatio
2026-01-08 00:40:00,13065
2026-01-08 00:45:00,12125
2026-01-08 00:50:00,18648
2026-01-08 00:55:00,24198
2026-01-08 01:00:00,14214
2026-01-08 01:05:00,16341
2026-01-08 01:10:00,14672
2026-01-08 01:15:00,12712
2026-01-08 01:20:00,12879
2026-01-08 01:25:00,7623
2026-01-08 01:30:00,26006
2026-01-08 01:35:00,15492
2026-01-08 01:40:00,19225
2026-01-08 01:45:00,47535
2026-01-08 01:50:00,1544
2026-01-08 01:55:00,27407
2026-01-08 02:00:00,1924
2026-01-08 02:05:00,2870
2026-01-08 02:10:00,23007
2026-01-08 02:15:00,28073
2026-01-08 02:20:00,38638
2026-01-08 02:25:00,1570
2026-01-08 02:30:00,26860
2026-01-08 02:35:00,41372
2026-01-08 02:40:00,2933
2026-01-08 02:45:00,15908
2026-01-08 02:50:00,29850
2026-01-08 02:55:00,26388
2026-01-08 03:00:00,7049
2026-01-08 03:05:00,5802
2026-01-08 03:10:00,6085
2026-01-08 03:15:00,6741
2026-01-08 03:20:00,6204
2026-01-08 03:25:00,6406
2026-01-08 03:30:00,6330
2026-01-08 03:35:00,5803
2026-01-08 03:40:00,6689
2026-01-08 03:45:00,5619
2026-01-08 03:50:00,5299
2026-01-08 03:55:00,5703
2026-01-08 04:00:00,5864
2026-01-08 04:05:00,5864
2026-01-08 04:10:00,5985
2026-01-08 04:15:00,5434
2026-01-08 04:20:00,6503
2026-01-08 04:25:00,5635
2026-01-08 04:30:00,4874
2026-01-08 04:35:00,6604
2026-01-08 04:40:00,5866
2026-01-08 04:45:00,5620
2026-01-08 04:50:00,6318
2026-01-08 04:55:00,6482
2026-01-08 05:00:00,6442
2026-01-08 05:05:00,6295
2026-01-08 05:10:00,7183
2026-01-08 05:15:00,7727
2026-01-08 05:20:00,6260
2026-01-08 05:25:00,7472
2026-01-08 05:30:00,7208
2026-01-08 05:35:00,8375
2026-01-08 05:40:00,9150
2026-01-08 05:45:00,7526
2026-01-08 05:50:00,9395
2026-01-08 05:55:00,11162
2026-01-08 06:00:00,10248
2026-01-08 06:05:00,12050
2026-01-08 06:10:00,11962
2026-01-08 06:15:00,11677
2026-01-08 06:20:00,15292
2026-01-08 06:25:00,15238
2026-01-08 06:30:00,17659
2026-01-08 06:35:00,19062
2026-01-08 06:40:00,10076
2026-01-08 06:45:00,2997
2026-01-08 06:50:00,2467
2026-01-08 06:55:00,1752
2026-01-08 07:00:00,1795
2026-01-08 07:05:00,1824
2026-01-08 07:10:00,1838
2026-01-08 07:15:00,1833
2026-01-08 07:20:00,1836
2026-01-08 07:25:00,1854
2026-01-08 07:30:00,1819
2026-01-08 07:35:00,1842
2026-01-08 07:40:00,1799
2026-01-08 07:45:00,2294
2026-01-08 07:50:00,1810
2026-01-08 07:55:00,1833
2026-01-08 08:00:00,1804
2026-01-08 08:05:00,1786
2026-01-08 08:10:00,1843
2026-01-08 08:15:00,1830
2026-01-08 08:20:00,1881
2026-01-08 08:25:00,1814
2026-01-08 08:30:00,1796
2026-01-08 08:35:00,1842
2026-01-08 08:40:00,1815
2026-01-08 08:45:00,1811
2026-01-08 08:50:00,1799
2026-01-08 08:55:00,1826
2026-01-08 09:00:00,1913
2026-01-08 09:05:00,1902
2026-01-08 09:10:00,1888
2026-01-08 09:15:00,1880
2026-01-08 09:20:00,1914
2026-01-08 09:25:00,1909
2026-01-08 09:30:00,1857
2026-01-08 09:35:00,1912
2026-01-08 09:40:00,1876
2026-01-08 09:45:00,1818
2026-01-08 09:50:00,1818
2026-01-08 09:55:00,1869
2026-01-08 10:00:00,1880
2026-01-08 10:05:00,1851
2026-01-08 10:10:00,1921
2026-01-08 10:15:00,1867
2026-01-08 10:20:00,1865
2026-01-08 10:25:00,1832
2026-01-08 10:30:00,1871
2026-01-08 10:35:00,1840
2026-01-08 10:40:00,1966
2026-01-08 10:45:00,1860
2026-01-08 10:50:00,1806
2026-01-08 10:55:00,1813
2026-01-08 11:00:00,1853
2026-01-08 11:05:00,1895
2026-01-08 11:10:00,1889
2026-01-08 11:15:00,2290
2026-01-08 11:20:00,2436
2026-01-08 11:25:00,2421
2026-01-08 11:30:00,2410
2026-01-08 11:35:00,2337
2026-01-08 11:40:00,2324
2026-01-08 11:45:00,2317
2026-01-08 11:50:00,2382
2026-01-08 11:55:00,2480
2026-01-08 12:00:00,2402
2026-01-08 12:05:00,2398
2026-01-08 12:10:00,2303
2026-01-08 12:15:00,2379
2026-01-08 12:20:00,2337
2026-01-08 12:25:00,2346
2026-01-08 12:30:00,2371
2026-01-08 12:35:00,2283
2026-01-08 12:40:00,2276
2026-01-08 12:45:00,2287
2026-01-08 12:50:00,2374
2026-01-08 12:55:00,2335
2026-01-08 13:00:00,2347
2026-01-08 13:05:00,2392
2026-01-08 13:10:00,2396
2026-01-08 13:15:00,2288
2026-01-08 13:20:00,2334
2026-01-08 13:25:00,2463
2026-01-08 13:30:00,2392
2026-01-08 13:35:00,2373
2026-01-08 13:40:00,2355
2026-01-08 13:45:00,2392
2026-01-08 13:50:00,2406
2026-01-08 13:55:00,2314
2026-01-08 14:00:00,2403
2026-01-08 14:05:00,2371
2026-01-08 14:10:00,2308
2026-01-08 14:15:00,2361
2026-01-08 14:20:00,2426
2026-01-08 14:25:00,2434
2026-01-08 14:30:00,2250
2026-01-08 14:35:00,2312
2026-01-08 14:40:00,2308
2026-01-08 14:45:00,2366
2026-01-08 14:50:00,2342
2026-01-08 14:55:00,2373
2026-01-08 15:00:00,2459
2026-01-08 15:05:00,2359
2026-01-08 15:10:00,2338
2026-01-08 15:15:00,2250
2026-01-08 15:20:00,2221
2026-01-08 15:25:00,2291
2026-01-08 15:30:00,2295
2026-01-08 15:35:00,2295
2026-01-08 15:40:00,2413
2026-01-08 15:45:00,2393
2026-01-08 15:50:00,2450
2026-01-08 15:55:00,2591
2026-01-08 16:00:00,2379
2026-01-08 16:05:00,2539
2026-01-08 16:10:00,2489
2026-01-08 16:15:00,1903
2026-01-08 16:20:00,1897
2026-01-08 16:25:00,1966
2026-01-08 16:30:00,2530
2026-01-08 16:35:00,2047
2026-01-08 16:40:00,5537
2026-01-08 16:45:00,2636
2026-01-08 16:50:00,13189
2026-01-08 16:55:00,1966
2026-01-08 17:00:00,25368
2026-01-08 17:05:00,1915
2026-01-08 17:10:00,13459
2026-01-08 17:15:00,11146
2026-01-08 17:20:00,11008
2026-01-08 17:25:00,33576
2026-01-08 17:30:00,12229
2026-01-08 17:35:00,1900
2026-01-08 17:40:00,13343
2026-01-08 17:45:00,18853
2026-01-08 17:50:00,2013
2026-01-08 17:55:00,12021
2026-01-08 18:00:00,11344
2026-01-08 18:05:00,1898
2026-01-08 18:10:00,23556
2026-01-08 18:15:00,30114
2026-01-08 18:20:00,52443
2026-01-08 18:25:00,44913
2026-01-08 18:30:00,43504
2026-01-08 18:35:00,20397
2026-01-08 18:40:00,9168
2026-01-08 18:45:00,4918
2026-01-08 18:50:00,2836
2026-01-08 18:55:00,2287
2026-01-08 19:00:00,2036
2026-01-08 19:05:00,1779
2026-01-08 19:10:00,1833
2026-01-08 19:15:00,1812
2026-01-08 19:20:00,1803
2026-01-08 19:25:00,1829
2026-01-08 19:30:00,1779
2026-01-08 19:35:00,1811
2026-01-08 19:40:00,1773
2026-01-08 19:45:00,1810
2026-01-08 19:50:00,1715
2026-01-08 19:55:00,1716
2026-01-08 20:00:00,1778
2026-01-08 20:05:00,1838
2026-01-08 20:10:00,5722
2026-01-08 20:15:00,1882
2026-01-08 20:20:00,1899
2026-01-08 20:25:00,1842
2026-01-08 20:30:00,1829
2026-01-08 20:35:00,1833
2026-01-08 20:40:00,1866
2026-01-08 20:45:00,1776
2026-01-08 20:50:00,1788
2026-01-08 20:55:00,1852
2026-01-08 21:00:00,1786
2026-01-08 21:05:00,1833
2026-01-08 21:10:00,1767
2026-01-08 21:15:00,1776
2026-01-08 21:20:00,1873
2026-01-08 21:25:00,26620
2026-01-08 21:30:00,2218
2026-01-08 21:35:00,1871
2026-01-08 21:40:00,1828
2026-01-08 21:45:00,1724
2026-01-08 21:50:00,1768
2026-01-08 21:55:00,1769
2026-01-08 22:00:00,1829
2026-01-08 22:05:00,1768
2026-01-08 22:10:00,1742
2026-01-08 22:15:00,1790
2026-01-08 22:20:00,1716
2026-01-08 22:25:00,1730
2026-01-08 22:30:00,1681
2026-01-08 22:35:00,1724
2026-01-08 22:40:00,1661
2026-01-08 22:45:00,1708
2026-01-08 22:50:00,1684
2026-01-08 22:55:00,1741
2026-01-08 23:00:00,1662
2026-01-08 23:05:00,1536
2026-01-08 23:10:00,1481
2026-01-08 23:15:00,1432
2026-01-08 23:20:00,1526
2026-01-08 23:25:00,1587
2026-01-08 23:30:00,1575
2026-01-08 23:35:00,1997
2026-01-08 23:40:00,1519
2026-01-08 23:45:00,1783
2026-01-08 23:50:00,2341
2026-01-08 23:55:00,2725
2026-01-09 00:00:00,1653
2026-01-09 00:05:00,1644
2026-01-09 00:10:00,1821
2026-01-09 00:15:00,1837
2026-01-09 00:20:00,5474
2026-01-09 00:25:00,10908
2026-01-09 00:30:00,20532
2026-01-09 00:35:00,13491
2026-01-09 00:40:00,23060
2026-01-09 00:45:00,2295
2026-01-09 00:50:00,1521
2026-01-09 00:55:00,19257
2026-01-09 01:00:00,13090
2026-01-09 01:05:00,31636
2026-01-09 01:10:00,19294
2026-01-09 01:15:00,20467
2026-01-09 01:20:00,25668
2026-01-09 01:25:00,27497
2026-01-09 01:30:00,32701
2026-01-09 01:35:00,39061
2026-01-09 01:40:00,3861
2026-01-09 01:45:00,20069
2026-01-09 01:50:00,6015
2026-01-09 01:55:00,6629
2026-01-09 02:00:00,2136
2026-01-09 02:05:00,16583
2026-01-09 02:10:00,14267
2026-01-09 02:15:00,1558
2026-01-09 02:20:00,35452
2026-01-09 02:25:00,27715
2026-01-09 02:30:00,37925
2026-01-09 02:35:00,2047
2026-01-09 02:40:00,13572
2026-01-09 02:45:00,18320
2026-01-09 02:50:00,43438
2026-01-09 02:55:00,59482
2026-01-09 03:00:00,71407
2026-01-09 03:05:00,42027
2026-01-09 03:10:00,12594
2026-01-09 03:15:00,24800
2026-01-09 03:20:00,9683
2026-01-09 03:25:00,10664
2026-01-09 03:30:00,6378
2026-01-09 03:35:00,5838
2026-01-09 03:40:00,5650
2026-01-09 03:45:00,4214
2026-01-09 03:50:00,4905
2026-01-09 03:55:00,4418
2026-01-09 04:00:00,7183
2026-01-09 04:05:00,5773
2026-01-09 04:10:00,5619
2026-01-09 04:15:00,4713
2026-01-09 04:20:00,4101
2026-01-09 04:25:00,5143
2026-01-09 04:30:00,4803
2026-01-09 04:35:00,4816
2026-01-09 04:40:00,4665
2026-01-09 04:45:00,4971
2026-01-09 04:50:00,7201
2026-01-09 04:55:00,8278
2026-01-09 05:00:00,7671
2026-01-09 05:05:00,6713
2026-01-09 05:10:00,6268
2026-01-09 05:15:00,6058
2026-01-09 05:20:00,6262
2026-01-09 05:25:00,5036
2026-01-09 05:30:00,9357
2026-01-09 05:35:00,7457
2026-01-09 05:40:00,10493
2026-01-09 05:45:00,7587
2026-01-09 05:50:00,8354
2026-01-09 05:55:00,8205
2026-01-09 06:00:00,9076
2026-01-09 06:05:00,10208
2026-01-09 06:10:00,20189
2026-01-09 06:15:00,17179
2026-01-09 06:20:00,16480
2026-01-09 06:25:00,20272
2026-01-09 06:30:00,17791
2026-01-09 06:35:00,20022
2026-01-09 06:40:00,6852
2026-01-09 06:45:00,2762
2026-01-09 06:50:00,1964
2026-01-09 06:55:00,11615
2026-01-09 07:00:00,2060
2026-01-09 07:05:00,15842
2026-01-09 07:10:00,1731
2026-01-09 07:15:00,1847
2026-01-09 07:20:00,1841
2026-01-09 07:25:00,1804
2026-01-09 07:30:00,1796
2026-01-09 07:35:00,1858
2026-01-09 07:40:00,1767
2026-01-09 07:45:00,1738
2026-01-09 07:50:00,2135
2026-01-09 07:55:00,7815
2026-01-09 08:00:00,2172
2026-01-09 08:05:00,10893
2026-01-09 08:10:00,2530
2026-01-09 08:15:00,2649
2026-01-09 08:20:00,2588
2026-01-09 08:25:00,2539
2026-01-09 08:30:00,2565
2026-01-09 08:35:00,2592
2026-01-09 08:40:00,2546
2026-01-09 08:45:00,2138
2026-01-09 08:50:00,2120
2026-01-09 08:55:00,2060
2026-01-09 09:00:00,15161
2026-01-09 09:05:00,2580
2026-01-09 09:10:00,2623
2026-01-09 09:15:00,2608
2026-01-09 09:20:00,10507
2026-01-09 09:25:00,1816
2026-01-09 09:30:00,1819
2026-01-09 09:35:00,1833
2026-01-09 09:40:00,1885
2026-01-09 09:45:00,1855
2026-01-09 09:50:00,1804
2026-01-09 09:55:00,1776
2026-01-09 10:00:00,1840
2026-01-09 10:05:00,1859
2026-01-09 10:10:00,1826
2026-01-09 10:15:00,1802
2026-01-09 10:20:00,1824
2026-01-09 10:25:00,1787
2026-01-09 10:30:00,1749
2026-01-09 10:35:00,1788
2026-01-09 10:40:00,1807
2026-01-09 10:45:00,1901
2026-01-09 10:50:00,1888
2026-01-09 10:55:00,1789
2026-01-09 11:00:00,1830
2026-01-09 11:05:00,1847
2026-01-09 11:10:00,1854
2026-01-09 11:15:00,1815
2026-01-09 11:20:00,1832
2026-01-09 11:25:00,1839
2026-01-09 11:30:00,1863
2026-01-09 11:35:00,1821
2026-01-09 11:40:00,1874
2026-01-09 11:45:00,1778
2026-01-09 11:50:00,12190
2026-01-09 11:55:00,1855
2026-01-09 12:00:00,1972
2026-01-09 12:05:00,1839
2026-01-09 12:10:00,1877
2026-01-09 12:15:00,1890
2026-01-09 12:20:00,1908
2026-01-09 12:25:00,1839
2026-01-09 12:30:00,1825
2026-01-09 12:35:00,1796
2026-01-09 12:40:00,1854
2026-01-09 12:45:00,1862
2026-01-09 12:50:00,1819
2026-01-09 12:55:00,1789
2026-01-09 13:00:00,1846
2026-01-09 13:05:00,1902
2026-01-09 13:10:00,1931
2026-01-09 13:15:00,5199
2026-01-09 13:20:00,1867
2026-01-09 13:25:00,6447
2026-01-09 13:30:00,1879
2026-01-09 13:35:00,1803
2026-01-09 13:40:00,11492
2026-01-09 13:45:00,1773
2026-01-09 13:50:00,1798
2026-01-09 13:55:00,1857
2026-01-09 14:00:00,1952
2026-01-09 14:05:00,1875
2026-01-09 14:10:00,1832
2026-01-09 14:15:00,1816
2026-01-09 14:20:00,23643
2026-01-09 14:25:00,14000
2026-01-09 14:30:00,1909
2026-01-09 14:35:00,1872
2026-01-09 14:40:00,1876
2026-01-09 14:45:00,1863
2026-01-09 14:50:00,1838
2026-01-09 14:55:00,1888
2026-01-09 15:00:00,1809
2026-01-09 15:05:00,12397
2026-01-09 15:10:00,5119
2026-01-09 15:15:00,9904
2026-01-09 15:20:00,13349
2026-01-09 15:25:00,9388
2026-01-09 15:30:00,1903
2026-01-09 15:35:00,1920
2026-01-09 15:40:00,1783
2026-01-09 15:45:00,1875
2026-01-09 15:50:00,1871
2026-01-09 15:55:00,1863
2026-01-09 16:00:00,1901
2026-01-09 16:05:00,1828
2026-01-09 16:10:00,1943
2026-01-09 16:15:00,2679
2026-01-09 16:20:00,2637
2026-01-09 16:25:00,2611
2026-01-09 16:30:00,3414
2026-01-09 16:35:00,2310
2026-01-09 16:40:00,1909
2026-01-09 16:45:00,12492
2026-01-09 16:50:00,2150
2026-01-09 16:55:00,1830
2026-01-09 17:00:00,1838
2026-01-09 17:05:00,22875
2026-01-09 17:10:00,2110
2026-01-09 17:15:00,1819
2026-01-09 17:20:00,21152
2026-01-09 17:25:00,2064
2026-01-09 17:30:00,1810
2026-01-09 17:35:00,2063
2026-01-09 17:40:00,7160
2026-01-09 17:45:00,1975
2026-01-09 17:50:00,1857
2026-01-09 17:55:00,57148
2026-01-09 18:00:00,14475
2026-01-09 18:05:00,7139
2026-01-09 18:10:00,2254
2026-01-09 18:15:00,14815
2026-01-09 18:20:00,1879
2026-01-09 18:25:00,13923
2026-01-09 18:30:00,5642
2026-01-09 18:35:00,2217
2026-01-09 18:40:00,23673
2026-01-09 18:45:00,15273
2026-01-09 18:50:00,11884
2026-01-09 18:55:00,56705
2026-01-09 19:00:00,49296
2026-01-09 19:05:00,51590
2026-01-09 19:10:00,51791
2026-01-09 19:15:00,51007
2026-01-09 19:20:00,50269
2026-01-09 19:25:00,30330
2026-01-09 19:30:00,37386
2026-01-09 19:35:00,34303
2026-01-09 19:40:00,18234
2026-01-09 19:45:00,13694
2026-01-09 19:50:00,9609
2026-01-09 19:55:00,5666
2026-01-09 20:00:00,3098
2026-01-09 20:05:00,2701
2026-01-09 20:10:00,2276
2026-01-09 20:15:00,1767
2026-01-09 20:20:00,1788
2026-01-09 20:25:00,1782
2026-01-09 20:30:00,1727
2026-01-09 20:35:00,1739
2026-01-09 20:40:00,1720
2026-01-09 20:45:00,2107
2026-01-09 20:50:00,2186
2026-01-09 20:55:00,1995
2026-01-09 21:00:00,2028
2026-01-09 21:05:00,2601
2026-01-09 21:10:00,2072
2026-01-09 21:15:00,2050
2026-01-09 21:20:00,1996
2026-01-09 21:25:00,2051
2026-01-09 21:30:00,2015
2026-01-09 21:35:00,1998
2026-01-09 21:40:00,1993
2026-01-09 21:45:00,2029
2026-01-09 21:50:00,2005
2026-01-09 21:55:00,2004
2026-01-09 22:00:00,2082
2026-01-09 22:05:00,1975
2026-01-09 22:10:00,2003
2026-01-09 22:15:00,1955
2026-01-09 22:20:00,1958
2026-01-09 22:25:00,1912
2026-01-09 22:30:00,1996
2026-01-09 22:35:00,1929
2026-01-09 22:40:00,1922
2026-01-09 22:45:00,1899
2026-01-09 22:50:00,1959
2026-01-09 22:55:00,2325
2026-01-09 23:00:00,1853
2026-01-09 23:05:00,1739
2026-01-09 23:10:00,1713
2026-01-09 23:15:00,1688
2026-01-09 23:20:00,1779
2026-01-09 23:25:00,1776
2026-01-09 23:30:00,1729
2026-01-09 23:35:00,1785
2026-01-09 23:40:00,1784
2026-01-09 23:45:00,1709
2026-01-09 23:50:00,1677
2026-01-09 23:55:00,1938
2026-01-10 00:00:00,1731
2026-01-10 00:05:00,1892
2026-01-10 00:10:00,16779
2026-01-10 00:15:00,1659
2026-01-10 00:20:00,1955
2026-01-10 00:25:00,2848
2026-01-10 00:30:00,3334
2026-01-10 00:35:00,31953
2026-01-10 00:40:00,1563
2026-01-10 00:45:00,17340
2026-01-10 00:50:00,26429
2026-01-10 00:55:00,21637
2026-01-10 01:00:00,12795
2026-01-10 01:05:00,18592
2026-01-10 01:10:00,6898
2026-01-10 01:15:00,36142
2026-01-10 01:20:00,18476
2026-01-10 01:25:00,9569
2026-01-10 01:30:00,11721
2026-01-10 01:35:00,12194
2026-01-10 01:40:00,13788
2026-01-10 01:45:00,11389
2026-01-10 01:50:00,25481
2026-01-10 01:55:00,34123
2026-01-10 02:00:00,64160
2026-01-10 02:05:00,26065
2026-01-10 02:10:00,14466
2026-01-10 02:15:00,38359
2026-01-10 02:20:00,1629
2026-01-10 02:25:00,13927
2026-01-10 02:30:00,10348
2026-01-10 02:35:00,12359
2026-01-10 02:40:00,41450
2026-01-10 02:45:00,13723
2026-01-10 02:50:00,60551
2026-01-10 02:55:00,1578
2026-01-10 03:00:00,56231
2026-01-10 03:05:00,42864
2026-01-10 03:10:00,10951
2026-01-10 03:15:00,6209
2026-01-10 03:20:00,5946
2026-01-10 03:25:00,5461
2026-01-10 03:30:00,5421
2026-01-10 03:35:00,5136
2026-01-10 03:40:00,4972
2026-01-10 03:45:00,4784
2026-01-10 03:50:00,4925
2026-01-10 03:55:00,5252
2026-01-10 04:00:00,5017
2026-01-10 04:05:00,5020
2026-01-10 04:10:00,4602
2026-01-10 04:15:00,4801
2026-01-10 04:20:00,4956
2026-01-10 04:25:00,4376
2026-01-10 04:30:00,4185
2026-01-10 04:35:00,4624
2026-01-10 04:40:00,7684
2026-01-10 04:45:00,5595
2026-01-10 04:50:00,6370
2026-01-10 04:55:00,5626
2026-01-10 05:00:00,6185
2026-01-10 05:05:00,6591
2026-01-10 05:10:00,10998
2026-01-10 05:15:00,7809
2026-01-10 05:20:00,7464
2026-01-10 05:25:00,8142
2026-01-10 05:30:00,8162
2026-01-10 05:35:00,7718
2026-01-10 05:40:00,8480
2026-01-10 05:45:00,14883
2026-01-10 05:50:00,8621
2026-01-10 05:55:00,9019
2026-01-10 06:00:00,12137
2026-01-10 06:05:00,11214
2026-01-10 06:10:00,11468
2026-01-10 06:15:00,9639
2026-01-10 06:20:00,8378
2026-01-10 06:25:00,8503
2026-01-10 06:30:00,10945
2026-01-10 06:35:00,11275
2026-01-10 06:40:00,11107
2026-01-10 06:45:00,12169
2026-01-10 06:50:00,14081
2026-01-10 06:55:00,12745
2026-01-10 07:00:00,7812
2026-01-10 07:05:00,1798
2026-01-10 07:10:00,1733
2026-01-10 07:15:00,1746
2026-01-10 07:20:00,1805
2026-01-10 07:25:00,1731
2026-01-10 07:30:00,1825
2026-01-10 07:35:00,1791
2026-01-10 07:40:00,1820
2026-01-10 07:45:00,1959
2026-01-10 07:50:00,1792
2026-01-10 07:55:00,1753
2026-01-10 08:00:00,1946
2026-01-10 08:05:00,1857
2026-01-10 08:10:00,1852
2026-01-10 08:15:00,1857
2026-01-10 08:20:00,1730
2026-01-10 08:25:00,1820
2026-01-10 08:30:00,1819
2026-01-10 08:35:00,1794
2026-01-10 08:40:00,1994
2026-01-10 08:45:00,1770
2026-01-10 08:50:00,1766
2026-01-10 08:55:00,1761
2026-01-10 09:00:00,1822
2026-01-10 09:05:00,1756
2026-01-10 09:10:00,1761
2026-01-10 09:15:00,1843
2026-01-10 09:20:00,1816
2026-01-10 09:25:00,1761
2026-01-10 09:30:00,1777
2026-01-10 09:35:00,1833
2026-01-10 09:40:00,1783
2026-01-10 09:45:00,11889
2026-01-10 09:50:00,1846
2026-01-10 09:55:00,1838
2026-01-10 10:00:00,1871
2026-01-10 10:05:00,1832
2026-01-10 10:10:00,1906
2026-01-10 10:15:00,1850
2026-01-10 10:20:00,1810
2026-01-10 10:25:00,1767
2026-01-10 10:30:00,1868
2026-01-10 10:35:00,1782
2026-01-10 10:40:00,1797
2026-01-10 10:45:00,1847
2026-01-10 10:50:00,1840
2026-01-10 10:55:00,1801
2026-01-10 11:00:00,1858
2026-01-10 11:05:00,1841
2026-01-10 11:10:00,1762
2026-01-10 11:15:00,1879
2026-01-10 11:20:00,1806
2026-01-10 11:25:00,1926
2026-01-10 11:30:00,1847
2026-01-10 11:35:00,1831
2026-01-10 11:40:00,1883
2026-01-10 11:45:00,1811
2026-01-10 11:50:00,1821
2026-01-10 11:55:00,1836
2026-01-10 12:00:00,1873
2026-01-10 12:05:00,1881
2026-01-10 12:10:00,1912
2026-01-10 12:15:00,1843
2026-01-10 12:20:00,1934
2026-01-10 12:25:00,1876
2026-01-10 12:30:00,1813
2026-01-10 12:35:00,1820
2026-01-10 12:40:00,1898
2026-01-10 12:45:00,1841
2026-01-10 12:50:00,1818
2026-01-10 12:55:00,1838
2026-01-10 13:00:00,1907
2026-01-10 13:05:00,1863
2026-01-10 13:10:00,1846
2026-01-10 13:15:00,1882
2026-01-10 13:20:00,1810
2026-01-10 13:25:00,1788
2026-01-10 13:30:00,1822
2026-01-10 13:35:00,1736
2026-01-10 13:40:00,1815
2026-01-10 13:45:00,1796
2026-01-10 13:50:00,1768
2026-01-10 13:55:00,1786
2026-01-10 14:00:00,1808
2026-01-10 14:05:00,1847
2026-01-10 14:10:00,1812
2026-01-10 14:15:00,1784
2026-01-10 14:20:00,1792
2026-01-10 14:25:00,1751
2026-01-10 14:30:00,1811
2026-01-10 14:35:00,1808
2026-01-10 14:40:00,1808
2026-01-10 14:45:00,1769
2026-01-10 14:50:00,1789
2026-01-10 14:55:00,1807
2026-01-10 15:00:00,1796
2026-01-10 15:05:00,6848
2026-01-10 15:10:00,1898
2026-01-10 15:15:00,1795
2026-01-10 15:20:00,1861
2026-01-10 15:25:00,1761
2026-01-10 15:30:00,1811
2026-01-10 15:35:00,11876
2026-01-10 15:40:00,1782
2026-01-10 15:45:00,1818
2026-01-10 15:50:00,1792
2026-01-10 15:55:00,11265
2026-01-10 16:00:00,1858
2026-01-10 16:05:00,1788
2026-01-10 16:10:00,1782
2026-01-10 16:15:00,1908
2026-01-10 16:20:00,1865
2026-01-10 16:25:00,15217
2026-01-10 16:30:00,3170
2026-01-10 16:35:00,12626
2026-01-10 16:40:00,1794
2026-01-10 16:45:00,1879
2026-01-10 16:50:00,9106
2026-01-10 16:55:00,1753
2026-01-10 17:00:00,1749
2026-01-10 17:05:00,1746
2026-01-10 17:10:00,1796
2026-01-10 17:15:00,1751
2026-01-10 17:20:00,1709
2026-01-10 17:25:00,1879
2026-01-10 17:30:00,26538
2026-01-10 17:35:00,1826
2026-01-10 17:40:00,1734
2026-01-10 17:45:00,1805
2026-01-10 17:50:00,1792
2026-01-10 17:55:00,1771
2026-01-10 18:00:00,1847
2026-01-10 18:05:00,1679
2026-01-10 18:10:00,1727
2026-01-10 18:15:00,1681
2026-01-10 18:20:00,1698
2026-01-10 18:25:00,1738
2026-01-10 18:30:00,1747
2026-01-10 18:35:00,7289
2026-01-10 18:40:00,1584
2026-01-10 18:45:00,1696
2026-01-10 18:50:00,5729
2026-01-10 18:55:00,1674
2026-01-10 19:00:00,1643
2026-01-10 19:05:00,13965
2026-01-10 19:10:00,1747
2026-01-10 19:15:00,1735
2026-01-10 19:20:00,1578
2026-01-10 19:25:00,6055
2026-01-10 19:30:00,9405
2026-01-10 19:35:00,1599
2026-01-10 19:40:00,1603
2026-01-10 19:45:00,1630
